日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20260112,4.45,4.51,4.43,4.46,4.41,0.05,1.1338,8673354.26,3880721.785
20260113,4.48,4.55,4.44,4.46,4.46,0.0,0.0,9137920.34,4094740.341
20260114,4.54,4.73,4.53,4.6,4.46,0.14,3.139,17724765.89,8199024.927
20260115,4.54,4.61,4.5,4.53,4.6,-0.07,-1.5217,8700734.04,3955664.026
20260116,4.55,4.57,4.44,4.46,4.53,-0.07,-1.5453,8670025.83,3877046.504
20260119,4.43,4.54,4.42,4.51,4.46,0.05,1.1211,7046849.23,3171097.852
20260120,4.51,4.53,4.42,4.45,4.51,-0.06,-1.3304,7452622.22,3316657.79
20260121,4.44,4.51,4.43,4.46,4.45,0.01,0.2247,7448743.89,3329437.119
20260122,4.46,4.48,4.38,4.4,4.46,-0.06,-1.3453,7855614.84,3464389.19
20260123,4.41,4.51,4.39,4.45,4.4,0.05,1.1364,10667076.97,4758781.999
20260126,4.48,4.55,4.47,4.47,4.45,0.02,0.4494,8984303.15,4049436.157
20260127,4.47,4.6,4.45,4.56,4.47,0.09,2.0134,10984987.92,4981911.62
20260128,4.55,4.58,4.5,4.53,4.56,-0.03,-0.6579,8123266.97,3682445.602
20260129,4.52,4.54,4.41,4.45,4.53,-0.08,-1.766,8639900.73,3857667.101
20260130,4.43,4.45,4.25,4.37,4.45,-0.08,-1.7978,9623972.86,4172981.84
20260202,4.32,4.37,4.23,4.24,4.37,-0.13,-2.9748,7248654.55,3116746.259
20260203,4.3,4.33,4.22,4.31,4.24,0.07,1.6509,6299312.86,2691952.493
20260204,4.3,4.42,4.29,4.39,4.31,0.08,1.8561,7454418.78,3262242.003
20260205,4.37,4.41,4.34,4.41,4.39,0.02,0.4556,6053281.52,2650425.564
20260206,4.38,4.42,4.34,4.37,4.41,-0.04,-0.907,4937934.05,2163713.431
20260209,4.41,4.42,4.33,4.35,4.37,-0.02,-0.4577,5361544.55,2337830.516
20260210,4.34,4.35,4.27,4.32,4.35,-0.03,-0.6897,4476845.0,1927873.395
20260211,4.31,4.34,4.28,4.29,4.32,-0.03,-0.6944,3719746.0,1601277.108
20260212,4.29,4.3,4.22,4.23,4.29,-0.06,-1.3986,5176990.04,2198451.661
20260213,4.21,4.23,4.17,4.18,4.23,-0.05,-1.182,5374416.9,2253914.035
20260224,4.22,4.3,4.21,4.28,4.18,0.1,2.3923,5400877.86,2307072.937
20260225,4.29,4.39,4.28,4.36,4.28,0.08,1.8692,6011700.62,2607984.135
20260226,4.38,4.38,4.32,4.33,4.36,-0.03,-0.6881,4600391.97,1998416.917
20260227,4.33,4.49,4.32,4.48,4.33,0.15,3.4642,10992669.2,4868981.872
20260302,4.44,4.59,4.43,4.49,4.48,0.01,0.2232,10247287.73,4626565.706
20260303,4.51,4.53,4.31,4.32,4.49,-0.17,-3.7862,9324251.78,4093258.571
20260304,4.29,4.38,4.26,4.32,4.32,0.0,0.0,6794714.2,2942662.127
20260305,4.38,4.53,4.38,4.46,4.32,0.14,3.2407,10403170.51,4660702.099
20260306,4.42,4.43,4.31,4.37,4.46,-0.09,-2.0179,9379855.04,4085736.971
20260309,4.31,4.33,4.22,4.31,4.37,-0.06,-1.373,8427997.74,3593024.477
20260310,4.35,4.39,4.33,4.35,4.31,0.04,0.9281,5721243.1,2494726.351
20260311,4.34,4.4,4.33,4.39,4.35,0.04,0.9195,5817267.39,2542860.609
20260312,4.4,4.47,4.38,4.42,4.39,0.03,0.6834,7535263.71,3332652.943
20260313,4.4,4.45,4.35,4.36,4.42,-0.06,-1.3575,5289827.69,2328660.718
20260316,4.34,4.34,4.2,4.23,4.36,-0.13,-2.9817,9061153.01,3842349.74
20260317,4.25,4.27,4.18,4.18,4.23,-0.05,-1.182,5143566.08,2171472.099
20260318,4.23,4.23,4.15,4.2,4.18,0.02,0.4785,5050720.77,2111466.286
20260319,4.15,4.16,4.08,4.09,4.2,-0.11,-2.619,5203475.25,2139925.058
20260320,4.11,4.15,4.07,4.08,4.09,-0.01,-0.2445,4842912.17,1993635.25
20260323,4.01,4.02,3.85,3.87,4.08,-0.21,-5.1471,9139186.96,3584773.807
20260324,3.92,4.0,3.9,4.0,3.87,0.13,3.3592,5840203.78,2302680.815
20260325,4.03,4.04,3.98,3.99,4.0,-0.01,-0.25,4393007.14,1760085.995
20260326,3.99,4.01,3.93,3.94,3.99,-0.05,-1.2531,3942963.09,1562818.115
20260327,3.91,3.97,3.9,3.95,3.94,0.01,0.2538,3566304.61,1408695.311
20260330,3.91,3.95,3.89,3.94,3.95,-0.01,-0.2532,3567123.42,1399472.627
20260331,3.93,3.97,3.9,3.91,3.94,-0.03,-0.7614,3892818.16,1532613.174
20260401,4.01,4.06,3.97,4.01,3.91,0.1,2.5575,5831403.9,2340737.07
20260402,4.01,4.01,3.93,3.95,4.01,-0.06,-1.4963,3903944.85,1548237.928
20260403,3.96,3.97,3.92,3.93,3.95,-0.02,-0.5063,2770513.91,1090994.954
20260407,3.95,3.95,3.89,3.91,3.93,-0.02,-0.5089,3465296.02,1357383.44
20260408,3.98,4.04,3.95,4.03,3.91,0.12,3.0691,5790904.52,2313171.005
20260409,3.99,4.03,3.97,4.01,4.03,-0.02,-0.4963,4182505.87,1674086.171
20260410,4.05,4.08,4.03,4.04,4.01,0.03,0.7481,4622697.81,1874658.593
20260413,4.01,4.04,3.99,4.03,4.04,-0.01,-0.2475,4046436.36,1627020.594
20260414,4.05,4.08,3.99,4.02,4.03,-0.01,-0.2481,4426940.75,1780807.989
20260415,4.04,4.06,4.0,4.0,4.02,-0.02,-0.4975,5348927.54,2154823.755
20260416,4.01,4.04,3.98,4.03,4.0,0.03,0.75,4154284.81,1663886.88
20260417,4.01,4.04,4.0,4.02,4.03,-0.01,-0.2481,3098676.54,1245028.832
